                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.63682,                0.98085,                0.46376,                 1.2617,                0.96293,                0.97879,                0.98702,                0.87976,                0.96189,                0.97773,                0.98695,                0.89091,                      0,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     27,                 0.6289,                0.98961,                0.46245,                 1.2577,                0.96093,                0.97804,                0.98692,                 0.8836,                0.96145,                0.97857,                0.98698,                 0.8939,                      0,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     28,                0.62331,                0.99495,                0.45442,                 1.2476,                 0.9693,                 0.9711,                0.98667,                0.87987,                0.96983,                0.97163,                0.98671,                0.88752,                      0,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     29,                0.61309,                0.97271,                0.44502,                  1.239,                0.96681,                0.97295,                 0.9876,                0.88637,                0.96782,                0.97455,                0.98766,                0.89756,                      0,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     30,                0.61207,                0.96538,                0.43974,                 1.2438,                 0.9589,                0.97733,                0.98783,                0.89034,                0.95942,                0.97786,                0.98788,                0.89906,                      0,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     31,                0.60925,                0.94987,                0.44138,                 1.2412,                0.96699,                0.98091,                0.98809,                0.89331,                0.96699,                0.98091,                 0.9881,                0.89977,                      0,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     32,                 0.6027,                0.96317,                0.44144,                 1.2308,                 0.9558,                0.98038,                0.98662,                0.88483,                0.95632,                0.98091,                0.98672,                 0.8934,                      0,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     33,                0.60232,                0.94875,                0.43347,                 1.2317,                0.96485,                0.97879,                0.98882,                0.88936,                0.96537,                0.97932,                0.98886,                0.89798,                      0,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     34,                0.59342,                0.95193,                0.42662,                 1.2161,                 0.9627,                0.97826,                0.98698,                0.89173,                0.96322,                0.97879,                0.98704,                0.90242,                      0,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     35,                0.59071,                0.94472,                0.42276,                 1.2203,                0.96246,                0.97886,                0.98751,                0.89614,                0.96351,                0.97992,                0.98764,                0.90654,                      0,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     36,                0.58639,                0.93478,                0.41914,                 1.2173,                0.96497,                0.98091,                0.98835,                0.89047,                0.96549,                0.98144,                0.98838,                0.90218,                      0,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     37,                0.58185,                0.91763,                0.41708,                 1.2156,                0.96555,                0.97985,                0.98799,                0.89124,                0.96607,                0.98038,                0.98807,                0.90308,                      0,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     38,                0.57606,                0.91437,                0.41656,                 1.2078,                0.96802,                0.98038,                0.98873,                0.89924,                0.96802,                0.98038,                0.98875,                0.90796,                      0,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     39,                  0.571,                0.91046,                0.41019,                 1.2056,                 0.9718,                0.96831,                0.98805,                0.89938,                0.97081,                0.96987,                0.98811,                0.90642,                      0,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
